2020-07-31 16:31:28 status installed libsepol1:amd64 3.0-1
2020-07-31 16:31:28 configure libattr1:amd64 1:2.4.48-5 <none>
2020-07-31 16:31:28 status unpacked libattr1:amd64 1:2.4.48-5
2020-07-31 16:31:28 status half-configured libattr1:amd64 1:2.4.48-5
2020-07-31 16:31:28 status installed libattr1:amd64 1:2.4.48-5
2020-07-31 16:31:28 configure debianutils:amd64 4.9.1 <none>
2020-07-31 16:31:28 status unpacked debianutils:amd64 4.9.1
2020-07-31 16:31:28 status half-configured debianutils:amd64 4.9.1
2020-07-31 16:31:28 status installed debianutils:amd64 4.9.1
2020-07-31 16:31:28 configure mawk:amd64 1.3.4.20200120-2 <none>
2020-07-31 16:31:28 status unpacked mawk:amd64 1.3.4.20200120-2
2020-07-31 16:31:28 status half-configured mawk:amd64 1.3.4.20200120-2
2020-07-31 16:31:28 status installed mawk:amd64 1.3.4.20200120-2
2020-07-31 16:31:28 configure libdebconfclient0:amd64 0.251ubuntu1 <none>
2020-07-31 16:31:28 status unpacked libdebconfclient0:amd64 0.251ubuntu1
2020-07-31 16:31:28 status half-configured libdebconfclient0:amd64 0.251ubuntu1
2020-07-31 16:31:28 status installed libdebconfclient0:amd64 0.251ubuntu1
2020-07-31 16:31:28 configure base-files:amd64 11ubuntu5 <none>
2020-07-31 16:31:28 status unpacked base-files:amd64 11ubuntu5
2020-07-31 16:31:28 status half-configured base-files:amd64 11ubuntu5
2020-07-31 16:31:28 status installed base-files:amd64 11ubuntu5
2020-07-31 16:31:28 configure libbz2-1.0:amd64 1.0.8-2 <none>
2020-07-31 16:31:28 status unpacked libbz2-1.0:amd64 1.0.8-2
2020-07-31 16:31:28 status half-configured libbz2-1.0:amd64 1.0.8-2
2020-07-31 16:31:28 status installed libbz2-1.0:amd64 1.0.8-2
2020-07-31 16:31:28 configure base-passwd:amd64 3.5.47 <none>
2020-07-31 16:31:28 status unpacked base-passwd:amd64 3.5.47
2020-07-31 16:31:28 status half-configured base-passwd:amd64 3.5.47
2020-07-31 16:31:28 status installed base-passwd:amd64 3.5.47
2020-07-31 16:31:28 configure libdb5.3:amd64 5.3.28+dfsg1-0.6ubuntu2 <none>
2020-07-31 16:31:28 status unpacked libdb5.3:amd64 5.3.28+dfsg1-0.6ubuntu2
2020-07-31 16:31:28 status half-configured libdb5.3:amd64 5.3.28+dfsg1-0.6ubuntu2
2020-07-31 16:31:28 status installed libdb5.3:amd64 5.3.28+dfsg1-0.6ubuntu2
2020-07-31 16:31:28 configure libblkid1:amd64 2.34-0.1ubuntu9 <none>
